Designator,Mid X,Mid Y,Rotation,Layer
C2,53.45,22.975,0.0,bottom
C3,37.65,35.4,0.0,bottom
D1,19.825,41.9,90.0,bottom
D10,66.825,3.9,90.0,bottom
D11,86.825,22.9,90.0,bottom
D12,105.825,22.9,90.0,bottom
D13,124.825,17.9,90.0,bottom
D14,143.825,13.55,90.0,bottom
D2,38.825,41.9,90.0,bottom
D3,57.825,41.9,90.0,bottom
D4,86.825,41.9,90.0,bottom
D5,105.825,41.9,90.0,bottom
D6,124.825,36.9,90.0,bottom
D7,143.825,32.55,90.0,bottom
D8,19.825,3.9,90.0,bottom
D9,38.825,3.9,90.0,bottom
J1,10.575,22.8,90.0,bottom
J2,61.4,49.625,180.0,bottom
J3,50.475,23.725,90.0,bottom
J4,64.225,52.275,0.0,bottom
MX1,11.1,49.2125,0.0,top
MX10,58.15,11.1125,0.0,top
MX11,77.78,30.1625,0.0,top
MX12,96.83,30.1625,0.0,top
MX13,115.88,25.4025,0.0,top
MX14,134.93,20.6425,0.0,top
MX2,30.15,49.2125,0.0,top
MX3,49.2,49.2125,0.0,top
MX4,77.78,49.2125,0.0,top
MX5,96.83,49.2125,0.0,top
MX6,115.875,44.4525,0.0,top
MX7,134.93,39.6925,0.0,top
MX8,11.1,11.1125,0.0,top
MX9,30.15,11.1125,0.0,top
R3,37.725,33.25,180.0,bottom
SW2,63.575,56.55,180.0,top
U1,28.5625,30.1625,180.0,bottom
